Voter,Gender,Age,County
Rosemary Zazula,female,36-45,Mountain Farm
Carolyn Lamarche,female,46-55,Mountain Farm
Janice Little,female,46-55,Mountain Farm
Kirstin Pettner,female,56-65,Mountain Farm
Sidney Pierrot,male,36-45,Mountain Farm
Matthew Nunez,male,65+,Mountain Farm
Ronald Ferrara,male,56-65,Mountain Farm
Queen Brown,female,36-45,Mountain Farm
James Gaston,male,46-55,Mountain Farm
Haley Wells,female,36-45,Mountain Farm
Eve Burney,female,56-65,Mountain Farm
Thelma Hinkle,female,46-55,Mountain Farm
Betty Hanan,female,36-45,Black
Robert Walker,male,46-55,Riverside
Jose Morris,male,46-55,Black
Bernadette Pace,female,36-45,Mountain Farm
Peter Simson,male,46-55,Riverside
Thomas Blair,male,36-45,Mountain Farm
Marvin Tate,male,36-45,Mountain Farm
Cory Webb,male,46-55,Mountain Farm
Billy Phillips,male,46-55,Mountain Farm
Jimmy Fazio,male,56-65,Mountain Farm
Molly Harvey,female,56-65,Mountain Farm
Daniel Tucker,female,65+,Mountain Farm
Andrew Finch,male,36-45,Black
Rebecca Williams,female,46-55,Mountain Farm
Steven Volo,male,56-65,Mountain Farm
Nick Connelly,male,56-65,Mountain Farm
Wayne Martin,male,56-65,Mountain Farm
Janet Pittman,female,65+,Black
Michael Gibson,male,46-55,Mountain Farm
Angela Price,female,56-65,Mountain Farm
Danny Witek,male,56-65,Riverside
Nicole Strader,female,46-55,Black
Mark Rich,male,46-55,Black
Erin Fuller,female,56-65,Mountain Farm
Thomas Thigpen,male,36-45,Mountain Farm
Sheila Pittman,female,56-65,Mountain Farm
Rodrigo Wayment,male,65+,Mountain Farm
Anthony Wilda,male,46-55,Mountain Farm
David Allen,male,46-55,Mountain Farm
Aaron Sanchez,male,46-55,Mountain Farm
Jung Bennett,female,65+,Mountain Farm
David Boulds,male,46-55,Mountain Farm
Roger Goodwin,male,56-65,Mountain Farm
Maria Tullis,female,36-45,Mountain Farm
Cory Cardenas,male,36-45,Mountain Farm
Charles King,male,36-45,Riverside
Christine Greco,female,46-55,Mountain Farm
Jay Robinson,male,36-45,Mountain Farm
Diego Sheridan,male,46-55,Black
Phillip Williams,male,56-65,Mountain Farm
Luis Smith,male,36-45,Black
Ernesto Atchley,male,36-45,Mountain Farm
Clifford Cannon,male,46-55,Mountain Farm
Pearl Patterson,female,36-45,Mountain Farm
John Wagner,male,65+,Mountain Farm
Dorothy Mahn,female,36-45,Mountain Farm
Jan Thomas,female,46-55,Mountain Farm
Debra Carter,female,36-45,Mountain Farm
Kimberly Walker,female,46-55,Mountain Farm
Esther Moritz,female,65+,Mountain Farm
Martha Rivas,female,36-45,Mountain Farm
Karen Scott,female,46-55,Black
Gary Cote,male,56-65,Mountain Farm
Christine Clemens,female,65+,Mountain Farm
Jessica Covington,female,65+,Mountain Farm
Florence Donaway,female,46-55,Mountain Farm
William Downing,male,36-45,Black
Deborah Walton,female,36-45,Mountain Farm
Sol Newbury,male,46-55,Mountain Farm
Nellie Martin,female,56-65,Mountain Farm
Ione Dickerson,female,36-45,Riverside
Michael Smith,male,18-25,Mountain Farm
Alan Fernandez,male,46-55,Mountain Farm
Karen Gallo,female,56-65,Mountain Farm
Frank Chiles,male,56-65,Mountain Farm
Kenneth Canada,male,46-55,Mountain Farm
Betty Reidinger,female,36-45,Mountain Farm
George Hayes,male,36-45,Mountain Farm
Brian Pein,male,46-55,Mountain Farm
Patrick Rolon,male,56-65,Mountain Farm
Sara Bryant,female,36-45,Mountain Farm
Hollie Jones,female,56-65,Mountain Farm
Sybil Blake,female,46-55,Mountain Farm
Tamara Porter,female,46-55,Mountain Farm
Robert Carns,male,36-45,Mountain Farm
Lula Steier,female,18-25,Black
John Cornejo,male,36-45,Riverside
Carla Stringer,female,46-55,Mountain Farm
Andrea Petty,female,56-65,Mountain Farm
Jerry Walsh,male,46-55,Mountain Farm
John Glover,male,46-55,Mountain Farm
James Anderson,male,65+,Black
Charles Farnsworth,male,36-45,Riverside
Jessica Perry,female,65+,Mountain Farm
Beatrice Garcia,female,56-65,Riverside
Albert Tinley,male,65+,Bailey
Roger Henderson,male,56-65,Mountain Farm
Tracy Cross,male,46-55,Mountain Farm
Amy Kittrell,female,56-65,Mountain Farm
Ryan Lamb,male,36-45,Black
Rene Warren,male,18-25,Mountain Farm
Keith Smith,male,36-45,Mountain Farm
Scott Minichiello,male,46-55,Mountain Farm
Peter Blackburn,male,56-65,Mountain Farm
Joseph Pelchat,male,36-45,Riverside
Luke Sullivan,male,46-55,Bailey
May Crenshaw,female,46-55,Mountain Farm
Nicole Coral,female,56-65,Mountain Farm
Charles Bullion,male,56-65,Mountain Farm
Brian Satmary,male,46-55,Mountain Farm
Kelvin Andrew,male,46-55,Mountain Farm
Jennie Loehr,female,65+,Riverside
Phyllis Steed,female,46-55,Mountain Farm
James Ralston,male,46-55,Mountain Farm
Carol Hutchinson,female,65+,Black
Jeremiah Meyerott,male,46-55,Mountain Farm
Albert Winters,male,46-55,Black
Jason Armstrong,male,26-35,Mountain Farm
Clara Wells,female,46-55,Mountain Farm
Emma Schmidt,female,46-55,Black
Wilda Anderson,female,65+,Mountain Farm
Kenneth Christensen,male,36-45,Mountain Farm
Brandon Mitchell,male,36-45,Riverside
Douglas Gibbs,male,36-45,Mountain Farm
Tricia Phillis,female,26-35,Mountain Farm
David Amyotte,male,46-55,Mountain Farm
Richard Abdelhamid,male,46-55,Mountain Farm
Darrell Ala,male,36-45,Mountain Farm
Michael Porter,male,56-65,Mountain Farm
Randy Nelson,male,46-55,Mountain Farm
Kristopher Quigley,male,36-45,Mountain Farm
Billy Gregg,male,36-45,Mountain Farm
Joesph Spangler,male,46-55,Bailey
Luther Tellis,male,46-55,Riverside
Pauline Grabowski,female,36-45,Bailey
William Heath,male,46-55,Mountain Farm
George Hansen,male,36-45,Mountain Farm
Kimberly Neal,female,56-65,Riverside
Amy Doverspike,female,65+,Mountain Farm
Wilma Ortiz,female,46-55,Black
William Johnson,male,65+,Riverside
Barbara Tolliver,female,65+,Mountain Farm
Patrick Taylor,male,36-45,Mountain Farm
James Tilotta,male,65+,Mountain Farm
Andre Burgess,male,36-45,Mountain Farm
Karen Polan,female,36-45,Mountain Farm
William May,male,36-45,Mountain Farm
Becky Wilbourn,female,56-65,Mountain Farm
James Mikelson,male,46-55,Black
Mercedes Ulsamer,female,36-45,Mountain Farm
Jodi Tovar,female,46-55,Mountain Farm
Roscoe Howard,male,65+,Mountain Farm
Ana Christman,female,36-45,Mountain Farm
Mattie Martin,female,56-65,Mountain Farm
Jared Gray,male,46-55,Riverside
Cameron Cardozo,female,46-55,Mountain Farm
Francisca Eason,female,56-65,Mountain Farm
Marilyn Mumm,female,65+,Mountain Farm
Ernest Shriver,male,46-55,Mountain Farm
Patricia Bowen,female,56-65,Mountain Farm
Ashley Farrow,female,56-65,Mountain Farm
Tracy Maldonado,female,65+,Mountain Farm
Tina Goldberg,female,56-65,Mountain Farm
Jim Lyons,male,46-55,Mountain Farm
Lucie Johnson,female,46-55,Mountain Farm
Amanda Cleveland,female,36-45,Mountain Farm
Jack Hooker,male,56-65,Mountain Farm
Patricia Dickerson,female,46-55,Mountain Farm
Edward Miller,male,46-55,Mountain Farm
Lino Stone,male,46-55,Mountain Farm
Irma Hylan,female,56-65,Black
Jan Glasser,female,18-25,Mountain Farm
Janice Tuohy,female,36-45,Mountain Farm
Michael Sirwet,male,46-55,Mountain Farm
Kyra Reyes,female,36-45,Mountain Farm
Ellen Billingslea,female,46-55,Mountain Farm
Perry Stewart,male,56-65,Mountain Farm
Jeannie Mott,female,26-35,Riverside
William Stevenson,male,46-55,Mountain Farm
Mark Godfrey,male,46-55,Mountain Farm
Frank Cox,male,36-45,Bailey
Jamie Dudley,female,56-65,Mountain Farm
James Hix,male,46-55,Mountain Farm
Natalie Venable,female,65+,Mountain Farm
Howard Jackson,male,65+,Black
Martha Stults,female,46-55,Mountain Farm
Barbara Dehart,female,56-65,Mountain Farm
Shante Clemens,female,46-55,Mountain Farm
Rose Bauer,female,36-45,Mountain Farm
James Spiers,male,56-65,Mountain Farm
Martha Gardner,female,46-55,Mountain Farm
Frances Griffith,female,46-55,Black
Andrea Turner,female,46-55,Mountain Farm
Carl Helwig,male,46-55,Mountain Farm
Lynne Barton,female,18-25,Mountain Farm
James Longe,male,46-55,Mountain Farm
Estelle Kissinger,female,36-45,Mountain Farm
Cheryl Souvannavong,female,18-25,Mountain Farm
Richard Townsend,male,46-55,Mountain Farm
Mary Salem,female,46-55,Mountain Farm
Melissa Bennett,female,65+,Mountain Farm
Jane Bliss,female,65+,Mountain Farm
Francis Wengerd,male,65+,Mountain Farm
Jana Lewis,female,46-55,Mountain Farm
Scott Anderson,male,36-45,Riverside
Gary Riley,male,65+,Mountain Farm
Jon Hampton,male,46-55,Mountain Farm
Donald Tracy,male,46-55,Mountain Farm
Sarah Whitaker,female,65+,Mountain Farm
Jesse Kinard,male,36-45,Mountain Farm
Shari Busch,female,56-65,Mountain Farm
Nicholas Burr,male,65+,Black
Elmer Whitaker,male,36-45,Mountain Farm
Karen Martin,female,36-45,Mountain Farm
Jean Thomas,female,56-65,Mountain Farm
Melinda Clements,female,56-65,Mountain Farm
Lonnie Quilliams,male,46-55,Black
Matthew Green,male,46-55,Mountain Farm
Laurie Wyatt,female,46-55,Black
William Uhlman,male,56-65,Mountain Farm
Sandra Bertolino,female,46-55,Mountain Farm
Myrtle Cundiff,female,65+,Mountain Farm
Violet Helton,female,56-65,Mountain Farm
Lydia Driggers,female,56-65,Mountain Farm
David Innis,male,46-55,Mountain Farm
Jennifer Torres,female,36-45,Mountain Farm
Brent Haynes,male,36-45,Mountain Farm
Sheri Piper,female,65+,Mountain Farm
Garrett Hurdle,male,46-55,Black
William Doughty,male,56-65,Black
Carl Dona,male,56-65,Black
Elton Perry,male,46-55,Mountain Farm
Audrey Branam,female,46-55,Mountain Farm
Hilda Kostura,female,46-55,Bailey
Leo Moore,male,18-25,Mountain Farm
Ryan Smith,male,65+,Mountain Farm
Margaret Salmon,female,46-55,Mountain Farm
Julie Frank,female,36-45,Mountain Farm
Lonnie Winfield,male,46-55,Mountain Farm
Erick Kelly,male,56-65,Mountain Farm
Steven Switzer,male,46-55,Mountain Farm
Clarence Villagomez,male,65+,Mountain Farm
Libby Magana,female,65+,Mountain Farm
Donna Hashim,female,65+,Mountain Farm
Beverly Woodward,female,65+,Mountain Farm
Stacy Perkins,female,46-55,Mountain Farm
Max Zamora,male,56-65,Black
Andrew Watkins,male,56-65,Riverside
Elizabeth Rodriguez,female,56-65,Mountain Farm
James Mcclain,male,36-45,Mountain Farm
Deirdre Rodriquez,female,36-45,Bailey
Isabel Rhoden,female,46-55,Black
Alberto Gleason,male,65+,Riverside
Dan Beidleman,male,65+,Mountain Farm
Arthur Vidales,male,36-45,Black
Ronald Lewis,male,46-55,Riverside
Helen Milligan,female,46-55,Mountain Farm
Julissa Smith,female,46-55,Riverside
Pierre Doucette,male,65+,Riverside
Jorge Reed,male,36-45,Mountain Farm
Charisse Micheau,female,56-65,Black
James Deshaw,male,65+,Mountain Farm
Christina Ortiz,female,46-55,Mountain Farm
Diane Gural,female,65+,Mountain Farm
William Henson,male,46-55,Mountain Farm
Lawrence Singleton,male,56-65,Mountain Farm
Sandra Dube,female,46-55,Black
Naomi Howard,female,36-45,Mountain Farm
James Chambers,male,65+,Mountain Farm
John Banchero,male,65+,Riverside
Betty Stewart,female,46-55,Mountain Farm
Johnnie Moses,female,46-55,Mountain Farm
Nellie Hilbert,female,36-45,Mountain Farm
Cheryl West,female,46-55,Mountain Farm
Michael Matos,male,56-65,Mountain Farm
Robert Gang,male,46-55,Bailey
Jason Rumpf,male,46-55,Mountain Farm
Dennis Worthing,male,65+,Black
Thomas Elliott,male,36-45,Mountain Farm
Monica Heck,female,26-35,Mountain Farm
Greta Chavez,female,65+,Mountain Farm
Socorro Atkins,female,46-55,Mountain Farm
Elaine Carol,female,65+,Mountain Farm
Matthew Claiborne,male,46-55,Mountain Farm
Arnita Noble,female,46-55,Mountain Farm
Raymond Fulton,male,56-65,Mountain Farm
Joshua Reed,male,46-55,Mountain Farm
Angelia Alfano,female,46-55,Black
Anthony Turner,male,65+,Mountain Farm
Joshua Fink,male,36-45,Mountain Farm
Alejandro Spencer,male,46-55,Riverside
Joyce Jefferson,female,65+,Mountain Farm
Gerald Brown,male,18-25,Bailey
Kevin Diaz,male,46-55,Mountain Farm
Michael Patton,male,46-55,Riverside
Benjamin Riddle,male,65+,Mountain Farm
Christy Harris,female,46-55,Mountain Farm
Don Perez,male,36-45,Black
William Jones,male,36-45,Mountain Farm
Peter Fantasia,male,65+,Mountain Farm
Amanda Witty,female,65+,Mountain Farm
Hope Dammeyer,female,46-55,Mountain Farm
Antoinette Arnold,female,65+,Mountain Farm
Ernest Botha,male,65+,Bailey
Betty Roy,female,36-45,Mountain Farm
Amber Hunter,female,56-65,Mountain Farm
Ashley Nash,female,46-55,Black
Donald Horn,male,56-65,Mountain Farm
Robert Niesman,male,46-55,Bailey
Adam Hein,male,65+,Mountain Farm
Marylou Hall,female,18-25,Mountain Farm
Jo Linn,female,56-65,Mountain Farm
Victoria Snyder,female,36-45,Mountain Farm
Donna Garcia,female,46-55,Mountain Farm
Michael Flowers,male,46-55,Mountain Farm
Frances Frame,female,36-45,Mountain Farm
Jeffery Snipes,male,46-55,Riverside
Cynthia Reed,female,56-65,Mountain Farm
Ophelia Griner,female,56-65,Mountain Farm
Amie Williams,female,65+,Mountain Farm
Donna Sprauve,female,46-55,Black
Antonio Blevins,male,46-55,Mountain Farm
Virginia Cottrell,female,56-65,Riverside
Carol Mcintosh,female,65+,Mountain Farm
Kevin Cleek,male,56-65,Mountain Farm
Theresa Porter,female,46-55,Mountain Farm
Patricia Tubbs,female,56-65,Mountain Farm
Henry Barajas,male,46-55,Mountain Farm
Christopher Wells,male,56-65,Mountain Farm
Donald Royal,male,46-55,Mountain Farm
Lois Sampogna,female,26-35,Mountain Farm
Lawrence Shields,male,36-45,Black
Dennis Sease,male,18-25,Mountain Farm
Ronald Clark,male,56-65,Mountain Farm
Barbara Tellez,female,36-45,Mountain Farm
Laura Jones,female,36-45,Mountain Farm
Jeff Brenner,male,36-45,Mountain Farm
Margaret Sharpe,female,65+,Mountain Farm
Dustin Almeda,male,46-55,Mountain Farm
Melissa Crabtree,female,56-65,Bailey
Pamela Smith,female,46-55,Mountain Farm
Elvin Swanagan,male,56-65,Mountain Farm
Donald Decker,male,46-55,Mountain Farm
Willene Baumeister,female,56-65,Black
Paul Washington,male,46-55,Mountain Farm
Wilma Kugler,female,46-55,Mountain Farm
Howard Heimbach,male,56-65,Black
Brian Curling,male,46-55,Mountain Farm
Alfred Blocker,male,36-45,Mountain Farm
Daniel Pfeiff,male,46-55,Mountain Farm
Cassandra Vasquez,female,56-65,Black
Jonathon Hill,male,65+,Mountain Farm
Saul Red,male,36-45,Mountain Farm
Julie Freeman,female,56-65,Mountain Farm
Georgine Frederick,female,46-55,Mountain Farm
Boyd Kotterna,male,46-55,Mountain Farm
Jessica Kirby,female,36-45,Mountain Farm
Joseph Quick,male,65+,Mountain Farm
Joshua Sawyer,male,65+,Mountain Farm
Dixie Leblanc,female,56-65,Mountain Farm
Leo Wyatt,male,56-65,Mountain Farm
Edwin James,male,36-45,Black
Travis Jones,male,46-55,Bailey
Mary Swan,female,46-55,Mountain Farm
Elmer Leyva,male,18-25,Mountain Farm
Jennifer Odom,female,46-55,Mountain Farm
Sylvia Asher,female,36-45,Mountain Farm
Albert Willy,male,65+,Riverside
Jose Cash,male,46-55,Mountain Farm
Charles Haaby,male,46-55,Mountain Farm
Scotty Jones,male,36-45,Bailey
Anthony Walsh,male,65+,Riverside
Michael Lowry,male,46-55,Mountain Farm
Robert Walker,male,46-55,Mountain Farm
William Resnick,male,46-55,Mountain Farm
Richard Havercroft,male,36-45,Mountain Farm
Larry Herbert,male,36-45,Mountain Farm
Courtney Goff,female,65+,Mountain Farm
Bonnie James,female,46-55,Bailey
Nancy Stone,female,36-45,Mountain Farm
Henry Seese,male,46-55,Black
Ruby Harmon,female,56-65,Mountain Farm
Denise Knapp,female,26-35,Mountain Farm
Rhonda Desorcy,female,56-65,Mountain Farm
Shirley Dixon,female,65+,Mountain Farm
William Mcintosh,male,36-45,Black
Walter Wadding,male,36-45,Mountain Farm
Erik Fredrickson,male,46-55,Mountain Farm
Saul Locklear,male,46-55,Black
John Valdez,male,56-65,Mountain Farm
Bobby Cook,male,46-55,Black
Kelly Barnes,female,46-55,Mountain Farm
David Miller,male,46-55,Mountain Farm
Verna Mullins,female,46-55,Mountain Farm
Ronda Barnes,female,46-55,Mountain Farm
Ryan Hadley,male,36-45,Mountain Farm
Gail Collins,female,56-65,Mountain Farm
Florence Button,female,46-55,Mountain Farm
Lorraine Jones,female,65+,Mountain Farm
Jeremy Jimenez,male,65+,Mountain Farm
Mary Taylor,female,56-65,Mountain Farm
Freddie Coy,male,36-45,Black
Margaret Janczewski,female,46-55,Mountain Farm
Ione Hawes,female,46-55,Riverside
Rodney Orozco,male,56-65,Mountain Farm
Kevin Toone,male,36-45,Mountain Farm
Kelly Bunda,female,46-55,Mountain Farm
Markus Thomas,male,46-55,Riverside
Michael Morris,male,56-65,Mountain Farm
Deb Decoteau,female,65+,Riverside
Anthony Davis,male,46-55,Mountain Farm
Robert Patel,male,46-55,Mountain Farm
Bethany Cope,female,46-55,Mountain Farm
Luciana Faber,female,36-45,Mountain Farm
Kaitlin Holland,female,46-55,Black
Elizabeth Overstreet,female,65+,Mountain Farm
Joanna Bryant,female,46-55,Mountain Farm
Jean Thompson,female,56-65,Mountain Farm
Ruben Turpin,male,56-65,Mountain Farm
Veronica Dusel,female,65+,Mountain Farm
Gregory Young,male,46-55,Mountain Farm
Joey Tenebruso,male,46-55,Mountain Farm
Theodore Rautio,male,56-65,Mountain Farm
Fred Heltzel,male,46-55,Mountain Farm
George Mattson,male,65+,Mountain Farm
Carey Miner,male,56-65,Mountain Farm
Jason Bylsma,male,56-65,Mountain Farm
Aaron Hamons,male,56-65,Mountain Farm
William Jones,male,46-55,Mountain Farm
Amy Wylie,female,56-65,Mountain Farm
Michael Hansen,male,46-55,Black
Katie Basso,female,46-55,Mountain Farm
Barbara Weston,female,36-45,Riverside
Benny Boydston,male,36-45,Mountain Farm
Rebecca Mitchell,female,36-45,Mountain Farm
Susan Pettit,female,46-55,Mountain Farm
Genevieve Grant,female,56-65,Mountain Farm
Robert Knudsvig,male,46-55,Mountain Farm
James Bastien,male,56-65,Mountain Farm
Robert Beauford,male,46-55,Riverside
David Sturgill,male,46-55,Mountain Farm
Richard Rincon,male,46-55,Black
William Gott,male,36-45,Mountain Farm
Tonie Pritchett,female,36-45,Mountain Farm
Gregory Soto,male,65+,Mountain Farm
Willie Look,male,26-35,Mountain Farm
Antonio Haynes,male,65+,Mountain Farm
Sheri Chambers,female,56-65,Riverside
James Leto,male,46-55,Mountain Farm
Daniel Simmons,male,65+,Mountain Farm
Katharine Martinez,female,56-65,Mountain Farm
Adriana Scott,female,46-55,Mountain Farm
Norma Lambert,female,36-45,Black
Ernest Homan,male,56-65,Mountain Farm
James Smith,male,46-55,Mountain Farm
Jennifer Hedgespeth,female,18-25,Riverside
Chadwick Fain,male,46-55,Black
Dan Daniels,male,36-45,Mountain Farm
Kim Payne,female,46-55,Mountain Farm
Matthew Gutierrez,male,36-45,Mountain Farm
Harrison Truxillo,male,36-45,Mountain Farm
Selena Pfaff,female,56-65,Mountain Farm
David Miller,male,26-35,Mountain Farm
Robin Jones,female,46-55,Mountain Farm
Robert Kelly,male,46-55,Mountain Farm
Scott Tejera,male,36-45,Mountain Farm
Jose Miner,male,46-55,Mountain Farm
Christopher Browning,male,65+,Mountain Farm
Melodie Murphy,female,65+,Mountain Farm
Thelma Foster,female,65+,Mountain Farm
Rick Shippy,male,65+,Mountain Farm
Lemuel Cornell,male,56-65,Mountain Farm
Willard Grasso,male,56-65,Black
Myrtle Rogers,female,46-55,Mountain Farm
Nancy Korando,female,36-45,Mountain Farm
Sabrina Bullard,female,65+,Bailey
Estelle Albury,female,56-65,Mountain Farm
Mary Vaughan,female,65+,Mountain Farm
Sarah Booth,female,46-55,Mountain Farm
Matthew Lamb,male,36-45,Mountain Farm
Margaret Teems,female,46-55,Mountain Farm
Deena Shoaff,female,36-45,Black
Clifford Burns,male,65+,Mountain Farm
Leonard Mcgibney,male,56-65,Black
Kristin Gardner,female,46-55,Mountain Farm
Tommy Lincoln,male,46-55,Mountain Farm
Keisha Dull,female,46-55,Mountain Farm
Brett Appel,male,46-55,Mountain Farm
Alfred Wonders,male,56-65,Mountain Farm
Lynn Polich,female,65+,Mountain Farm
Steve Rodgers,male,56-65,Mountain Farm
Karl Kim,male,46-55,Mountain Farm
Anna Williams,female,46-55,Mountain Farm
Tena Bannerman,female,65+,Mountain Farm
Julie Larson,female,46-55,Riverside
Duane Bedward,male,65+,Mountain Farm
Alice Tritt,female,65+,Mountain Farm
Judy Combs,female,36-45,Mountain Farm
Carolyn Mixson,female,65+,Mountain Farm
Angela Leblanc,female,56-65,Riverside
David Roberts,male,56-65,Mountain Farm
Amelia Major,female,36-45,Riverside
Aurora Toledo,female,46-55,Mountain Farm
Rebecca Frazier,female,56-65,Mountain Farm
Shannon Keffer,female,56-65,Mountain Farm
Thomas Moorman,male,65+,Mountain Farm
Steve Wasinger,male,56-65,Black
Sanjuanita Barra,female,46-55,Mountain Farm
Rickey Paine,male,46-55,Mountain Farm
