Voter,Gender,Age,Shares
Jana Higgins,female,56-65,1
Gregory Travis,male,65+,1
Greg Williams,male,56-65,1
Nancy Holt,female,36-45,1
Tara Long,female,36-45,1
Bridget Young,female,36-45,1
Jeff Scroggins,male,65+,1
Rosemary Zazula,female,36-45,1
Carolyn Lamarche,female,46-55,1
Janice Little,female,65+,1
Kirstin Pettner,female,65+,1
Sidney Pierrot,male,65+,1
Matthew Nunez,male,36-45,1
Ronald Ferrara,male,46-55,2
Queen Brown,female,65+,4
James Gaston,male,46-55,1
Haley Wells,female,65+,13
Eve Burney,female,46-55,1
Thelma Hinkle,female,65+,1
Betty Hanan,female,26-35,1
Robert Walker,male,36-45,2
Jose Morris,male,46-55,2
Bernadette Pace,female,36-45,2
Peter Simson,male,65+,1
Thomas Blair,male,46-55,1
Marvin Tate,male,36-45,3
Cory Webb,male,46-55,1
Billy Phillips,male,36-45,1
Jimmy Fazio,male,56-65,2
Molly Harvey,female,46-55,1
Daniel Tucker,female,65+,1
Andrew Finch,male,46-55,1
Rebecca Williams,female,65+,1
Steven Volo,male,46-55,1
Nick Connelly,male,56-65,1
Wayne Martin,male,36-45,1
Janet Pittman,female,46-55,2
Michael Gibson,male,36-45,1
Angela Price,female,36-45,1
Danny Witek,male,46-55,433
Nicole Strader,female,65+,1
Mark Rich,male,46-55,1
Erin Fuller,female,36-45,1
Thomas Thigpen,male,46-55,1
Sheila Pittman,female,56-65,1
Rodrigo Wayment,male,56-65,1
Anthony Wilda,male,65+,1
David Allen,male,46-55,2
Aaron Sanchez,male,46-55,1
Jung Bennett,female,56-65,1
David Boulds,male,46-55,1
Roger Goodwin,male,36-45,1
Maria Tullis,female,36-45,1
Cory Cardenas,male,65+,1
Charles King,male,46-55,1
Christine Greco,female,46-55,1
Jay Robinson,male,46-55,1
Diego Sheridan,male,46-55,1
Phillip Williams,male,65+,1
Luis Smith,male,65+,1
Ernesto Atchley,male,46-55,1
Clifford Cannon,male,46-55,1
Pearl Patterson,female,56-65,1
John Wagner,male,46-55,1
Dorothy Mahn,female,56-65,1
Jan Thomas,female,36-45,1
Debra Carter,female,65+,2
Kimberly Walker,female,56-65,2
Esther Moritz,female,65+,3
Martha Rivas,female,56-65,1
Karen Scott,female,65+,1
Gary Cote,male,46-55,1
Christine Clemens,female,46-55,2
Jessica Covington,female,46-55,1
Florence Donaway,female,36-45,2
William Downing,male,46-55,1
Deborah Walton,female,56-65,1
Sol Newbury,male,56-65,27
Nellie Martin,female,36-45,1
Ione Dickerson,female,46-55,1
Michael Smith,male,46-55,1
Alan Fernandez,male,56-65,1
Karen Gallo,female,36-45,2
Frank Chiles,male,56-65,1
Kenneth Canada,male,36-45,1
Betty Reidinger,female,56-65,1
George Hayes,male,56-65,1
Brian Pein,male,65+,2
Patrick Rolon,male,36-45,1
Sara Bryant,female,46-55,2
Hollie Jones,female,56-65,3
Sybil Blake,female,65+,1
Tamara Porter,female,36-45,1
Robert Carns,male,65+,1
Lula Steier,female,65+,32
John Cornejo,male,36-45,1
Carla Stringer,female,46-55,8
Andrea Petty,female,36-45,1
Jerry Walsh,male,65+,1
John Glover,male,65+,3
James Anderson,male,46-55,2
Charles Farnsworth,male,65+,1
Jessica Perry,female,56-65,1
Beatrice Garcia,female,46-55,1
Albert Tinley,male,46-55,1
Roger Henderson,male,46-55,1
Tracy Cross,male,65+,1
Amy Kittrell,female,36-45,1
Ryan Lamb,male,36-45,1
Rene Warren,male,46-55,2
Keith Smith,male,36-45,1
Scott Minichiello,male,46-55,2
Peter Blackburn,male,46-55,1
Joseph Pelchat,male,46-55,1
Luke Sullivan,male,46-55,2
May Crenshaw,female,36-45,1
Nicole Coral,female,46-55,2
Charles Bullion,male,56-65,1
Brian Satmary,male,36-45,1
Kelvin Andrew,male,46-55,1
Jennie Loehr,female,56-65,2
Phyllis Steed,female,46-55,2
James Ralston,male,46-55,2
Carol Hutchinson,female,46-55,2
Jeremiah Meyerott,male,56-65,1
Albert Winters,male,65+,1
Jason Armstrong,male,65+,1
Clara Wells,female,65+,2
Emma Schmidt,female,36-45,2
Wilda Anderson,female,46-55,4
Kenneth Christensen,male,36-45,1
Brandon Mitchell,male,46-55,1
Douglas Gibbs,male,56-65,1
Tricia Phillis,female,36-45,1
David Amyotte,male,46-55,1
Richard Abdelhamid,male,46-55,1
Darrell Ala,male,36-45,1
Michael Porter,male,46-55,1
Randy Nelson,male,46-55,1
Kristopher Quigley,male,26-35,2
Billy Gregg,male,65+,1
Joesph Spangler,male,56-65,2
Luther Tellis,male,65+,1
Pauline Grabowski,female,46-55,1
William Heath,male,56-65,1
George Hansen,male,65+,3
Kimberly Neal,female,65+,8
Amy Doverspike,female,36-45,1
Wilma Ortiz,female,65+,1
William Johnson,male,56-65,3
Barbara Tolliver,female,56-65,1
Patrick Taylor,male,46-55,1
James Tilotta,male,36-45,1
Andre Burgess,male,26-35,1
Karen Polan,female,46-55,1
William May,male,56-65,3
Becky Wilbourn,female,56-65,1
James Mikelson,male,36-45,1
Mercedes Ulsamer,female,65+,2
Jodi Tovar,female,36-45,1
Roscoe Howard,male,26-35,1
Ana Christman,female,56-65,3
Mattie Martin,female,56-65,1
Jared Gray,male,65+,1
Cameron Cardozo,female,46-55,2
Francisca Eason,female,46-55,1
Marilyn Mumm,female,46-55,1
Ernest Shriver,male,65+,1
Patricia Bowen,female,65+,1
Ashley Farrow,female,36-45,2
Tracy Maldonado,female,36-45,6
Tina Goldberg,female,65+,1
Jim Lyons,male,56-65,1
Lucie Johnson,female,56-65,1
Amanda Cleveland,female,46-55,4
Jack Hooker,male,36-45,8
Patricia Dickerson,female,36-45,1
Edward Miller,male,46-55,1
Lino Stone,male,56-65,2
Irma Hylan,female,46-55,12
Jan Glasser,female,56-65,1
Janice Tuohy,female,56-65,5
Michael Sirwet,male,46-55,2
Kyra Reyes,female,46-55,11
Ellen Billingslea,female,46-55,1
Perry Stewart,male,65+,1
Jeannie Mott,female,26-35,1
William Stevenson,male,46-55,1
Mark Godfrey,male,56-65,2
Frank Cox,male,46-55,1
Jamie Dudley,female,46-55,1
James Hix,male,18-25,1
Natalie Venable,female,46-55,1
Howard Jackson,male,36-45,1
Martha Stults,female,65+,1
Barbara Dehart,female,26-35,1
Shante Clemens,female,36-45,7
Rose Bauer,female,46-55,1
James Spiers,male,46-55,1
Martha Gardner,female,46-55,1
Frances Griffith,female,56-65,1
Andrea Turner,female,36-45,1
Carl Helwig,male,56-65,1
Lynne Barton,female,65+,1
James Longe,male,36-45,1
Estelle Kissinger,female,36-45,1
Cheryl Souvannavong,female,65+,1
Richard Townsend,male,46-55,1
Mary Salem,female,56-65,1
Melissa Bennett,female,56-65,1
Jane Bliss,female,36-45,1
Francis Wengerd,male,46-55,1
Jana Lewis,female,46-55,1
Scott Anderson,male,56-65,1
Gary Riley,male,46-55,1
Jon Hampton,male,36-45,1
Donald Tracy,male,46-55,1
Sarah Whitaker,female,56-65,1
Jesse Kinard,male,56-65,2
Shari Busch,female,65+,1
Nicholas Burr,male,56-65,1
Elmer Whitaker,male,36-45,2
Karen Martin,female,18-25,2
Jean Thomas,female,46-55,1
Melinda Clements,female,65+,1
Lonnie Quilliams,male,46-55,1
Matthew Green,male,65+,1
Laurie Wyatt,female,56-65,1
William Uhlman,male,46-55,1
Sandra Bertolino,female,46-55,1
Myrtle Cundiff,female,46-55,4
Violet Helton,female,56-65,1
Lydia Driggers,female,56-65,1
David Innis,male,36-45,1
Jennifer Torres,female,46-55,1
Brent Haynes,male,46-55,1
Sheri Piper,female,46-55,2
Garrett Hurdle,male,56-65,1
William Doughty,male,46-55,1
Carl Dona,male,46-55,1
Elton Perry,male,46-55,3
Audrey Branam,female,46-55,1
Hilda Kostura,female,46-55,1
Leo Moore,male,46-55,8
Ryan Smith,male,46-55,1
Margaret Salmon,female,46-55,3
Julie Frank,female,65+,1
Lonnie Winfield,male,46-55,11
Erick Kelly,male,56-65,1
Steven Switzer,male,56-65,1
Clarence Villagomez,male,46-55,1
Libby Magana,female,46-55,2
Donna Hashim,female,26-35,1
Beverly Woodward,female,46-55,1
Stacy Perkins,female,56-65,1
Max Zamora,male,36-45,1
Andrew Watkins,male,46-55,1
Elizabeth Rodriguez,female,65+,1
James Mcclain,male,56-65,1
Deirdre Rodriquez,female,65+,1
Isabel Rhoden,female,36-45,1
Alberto Gleason,male,46-55,1
Dan Beidleman,male,36-45,1
Arthur Vidales,male,36-45,1
Ronald Lewis,male,36-45,1
Helen Milligan,female,46-55,3
Julissa Smith,female,46-55,1
Pierre Doucette,male,56-65,1
Jorge Reed,male,46-55,1
Charisse Micheau,female,36-45,1
James Deshaw,male,56-65,1
Christina Ortiz,female,46-55,1
Diane Gural,female,46-55,1
William Henson,male,46-55,1
Lawrence Singleton,male,56-65,1
Sandra Dube,female,46-55,2
Naomi Howard,female,65+,3
James Chambers,male,46-55,1
John Banchero,male,65+,1
Betty Stewart,female,46-55,2
Johnnie Moses,female,46-55,1
Nellie Hilbert,female,65+,1
Cheryl West,female,46-55,6
Michael Matos,male,56-65,1
Robert Gang,male,65+,1
Jason Rumpf,male,36-45,1
Dennis Worthing,male,26-35,1
Thomas Elliott,male,56-65,1
Monica Heck,female,36-45,1
Greta Chavez,female,46-55,1
Socorro Atkins,female,46-55,2
Elaine Carol,female,36-45,2
Matthew Claiborne,male,65+,1
Arnita Noble,female,36-45,1
Raymond Fulton,male,36-45,3
Joshua Reed,male,46-55,1
Angelia Alfano,female,65+,1
Anthony Turner,male,56-65,1
Joshua Fink,male,46-55,1
Alejandro Spencer,male,46-55,1
Joyce Jefferson,female,56-65,1
Gerald Brown,male,65+,1
Kevin Diaz,male,56-65,1
Michael Patton,male,36-45,1
Benjamin Riddle,male,56-65,4
Christy Harris,female,56-65,3
Don Perez,male,65+,1
William Jones,male,56-65,1
Peter Fantasia,male,65+,1
Amanda Witty,female,46-55,1
Hope Dammeyer,female,65+,1
Antoinette Arnold,female,46-55,1
Ernest Botha,male,56-65,3
Betty Roy,female,36-45,1
Amber Hunter,female,46-55,1
Ashley Nash,female,46-55,1
Donald Horn,male,65+,1
Robert Niesman,male,26-35,1
Adam Hein,male,65+,1
Marylou Hall,female,65+,2
Jo Linn,female,46-55,1
Victoria Snyder,female,46-55,3
Donna Garcia,female,56-65,1
Michael Flowers,male,18-25,1
Frances Frame,female,46-55,1
Jeffery Snipes,male,36-45,1
Cynthia Reed,female,46-55,1
Ophelia Griner,female,46-55,1
Amie Williams,female,65+,1
Donna Sprauve,female,46-55,2
Antonio Blevins,male,36-45,1
Virginia Cottrell,female,36-45,1
Carol Mcintosh,female,46-55,1
Kevin Cleek,male,56-65,1
Theresa Porter,female,56-65,7
Patricia Tubbs,female,56-65,1
Henry Barajas,male,46-55,1
Christopher Wells,male,56-65,1
Donald Royal,male,46-55,1
Lois Sampogna,female,36-45,1
Lawrence Shields,male,65+,2
Dennis Sease,male,18-25,1
Ronald Clark,male,46-55,1
Barbara Tellez,female,46-55,2
Laura Jones,female,46-55,14
Jeff Brenner,male,56-65,5
Margaret Sharpe,female,65+,1
Dustin Almeda,male,56-65,1
Melissa Crabtree,female,46-55,1
Pamela Smith,female,36-45,1
Elvin Swanagan,male,56-65,4
Donald Decker,male,46-55,1
Willene Baumeister,female,56-65,1
Paul Washington,male,46-55,1
Wilma Kugler,female,65+,1
Howard Heimbach,male,56-65,1
Brian Curling,male,26-35,3
Alfred Blocker,male,65+,1
Daniel Pfeiff,male,56-65,1
Cassandra Vasquez,female,46-55,1
Jonathon Hill,male,46-55,1
Saul Red,male,46-55,1
Julie Freeman,female,36-45,1
Georgine Frederick,female,46-55,1
Boyd Kotterna,male,46-55,1
Jessica Kirby,female,36-45,2
Joseph Quick,male,65+,1
Joshua Sawyer,male,36-45,11
Dixie Leblanc,female,46-55,1
Leo Wyatt,male,36-45,1
Edwin James,male,46-55,1
Travis Jones,male,46-55,1
Mary Swan,female,56-65,1
Elmer Leyva,male,26-35,1
Jennifer Odom,female,46-55,1
Sylvia Asher,female,65+,1
Albert Willy,male,56-65,3
Jose Cash,male,36-45,2
Charles Haaby,male,56-65,1
Scotty Jones,male,46-55,1
Anthony Walsh,male,46-55,1
Michael Lowry,male,46-55,2
Robert Walker,male,56-65,1
William Resnick,male,36-45,3
Richard Havercroft,male,56-65,1
Larry Herbert,male,46-55,1
Courtney Goff,female,46-55,2
Bonnie James,female,65+,38
Nancy Stone,female,56-65,5
Henry Seese,male,65+,4
Ruby Harmon,female,46-55,1
Denise Knapp,female,26-35,1
Rhonda Desorcy,female,36-45,2
Shirley Dixon,female,56-65,1
William Mcintosh,male,46-55,2
Walter Wadding,male,46-55,1
Erik Fredrickson,male,46-55,22
Saul Locklear,male,56-65,1
John Valdez,male,65+,1
Bobby Cook,male,46-55,2
Kelly Barnes,female,36-45,1
David Miller,male,56-65,16
Verna Mullins,female,36-45,1
Ronda Barnes,female,46-55,1
Ryan Hadley,male,46-55,1
Gail Collins,female,56-65,1
Florence Button,female,56-65,1
Lorraine Jones,female,56-65,1
Jeremy Jimenez,male,46-55,1
Mary Taylor,female,46-55,1
Freddie Coy,male,46-55,1
Margaret Janczewski,female,46-55,1
Ione Hawes,female,56-65,12
Rodney Orozco,male,36-45,1
Kevin Toone,male,46-55,4
Kelly Bunda,female,56-65,2
Markus Thomas,male,46-55,1
Michael Morris,male,56-65,4
Deb Decoteau,female,36-45,1
Anthony Davis,male,36-45,1
Robert Patel,male,65+,1
Bethany Cope,female,56-65,1
Luciana Faber,female,65+,1
Kaitlin Holland,female,46-55,1
Elizabeth Overstreet,female,46-55,1
Joanna Bryant,female,56-65,1
Jean Thompson,female,46-55,2
Ruben Turpin,male,56-65,3
Veronica Dusel,female,46-55,2
Gregory Young,male,46-55,1
Joey Tenebruso,male,56-65,1
Theodore Rautio,male,46-55,1
Fred Heltzel,male,36-45,1
George Mattson,male,56-65,1
Carey Miner,male,65+,1
Jason Bylsma,male,36-45,3
Aaron Hamons,male,65+,8
William Jones,male,46-55,1
Amy Wylie,female,65+,2
Michael Hansen,male,56-65,1
Katie Basso,female,46-55,1
Barbara Weston,female,46-55,1
Benny Boydston,male,65+,1
Rebecca Mitchell,female,18-25,1
Susan Pettit,female,36-45,1
Genevieve Grant,female,65+,1
Robert Knudsvig,male,46-55,2
James Bastien,male,56-65,4
Robert Beauford,male,46-55,1
David Sturgill,male,36-45,1
Richard Rincon,male,36-45,1
William Gott,male,65+,1
Tonie Pritchett,female,46-55,2
Gregory Soto,male,65+,1
Willie Look,male,36-45,3
Antonio Haynes,male,36-45,1
Sheri Chambers,female,56-65,1
James Leto,male,56-65,1
Daniel Simmons,male,46-55,1
Katharine Martinez,female,36-45,1
Adriana Scott,female,46-55,1
Norma Lambert,female,56-65,3
Ernest Homan,male,18-25,1
James Smith,male,36-45,1
Jennifer Hedgespeth,female,65+,1
Chadwick Fain,male,65+,1
Dan Daniels,male,56-65,1
Kim Payne,female,36-45,1
Matthew Gutierrez,male,36-45,1
Harrison Truxillo,male,56-65,1
Selena Pfaff,female,46-55,1
David Miller,male,56-65,2
Robin Jones,female,56-65,1
Robert Kelly,male,56-65,1
Scott Tejera,male,65+,1
Jose Miner,male,36-45,1
Christopher Browning,male,36-45,1
Melodie Murphy,female,65+,1
Thelma Foster,female,46-55,1
Rick Shippy,male,18-25,1
Lemuel Cornell,male,36-45,1
Willard Grasso,male,26-35,1
Myrtle Rogers,female,26-35,1
Nancy Korando,female,65+,1
Sabrina Bullard,female,36-45,1
Estelle Albury,female,36-45,1
Mary Vaughan,female,46-55,1
Sarah Booth,female,65+,2
Matthew Lamb,male,65+,2
Margaret Teems,female,36-45,1
Deena Shoaff,female,46-55,1
Clifford Burns,male,46-55,3
Leonard Mcgibney,male,46-55,4
Kristin Gardner,female,46-55,1
Tommy Lincoln,male,26-35,1
Keisha Dull,female,56-65,1
Brett Appel,male,56-65,1
Alfred Wonders,male,36-45,1
Lynn Polich,female,46-55,2
Steve Rodgers,male,36-45,2
Karl Kim,male,36-45,1
Anna Williams,female,36-45,1
Tena Bannerman,female,56-65,1
Julie Larson,female,26-35,2
Duane Bedward,male,46-55,1
Alice Tritt,female,46-55,2
Judy Combs,female,36-45,8
Carolyn Mixson,female,46-55,1
Angela Leblanc,female,26-35,1
David Roberts,male,36-45,2
Amelia Major,female,56-65,1
Aurora Toledo,female,56-65,1
Rebecca Frazier,female,46-55,1
Shannon Keffer,female,46-55,2
Thomas Moorman,male,56-65,2
Steve Wasinger,male,56-65,1
Sanjuanita Barra,female,56-65,2
Rickey Paine,male,65+,1
Kristin Mahon,female,36-45,1
Leonard Bayer,male,46-55,2
Bryant Cooper,male,46-55,1
Sharen Henry,female,36-45,1
Lindsay Aasen,female,46-55,2
Frank King,male,36-45,1
David Stjohn,male,46-55,1
Mario Mcgonigle,male,65+,3
George Karg,male,36-45,1
William Sample,male,46-55,1
Martin Trickel,male,46-55,1
James Dodson,male,56-65,1
Vicki Low,female,36-45,4
Robert Vargas,male,46-55,2
Roberta Mosser,female,46-55,1
John Selfe,male,36-45,4
Mohammed Braddock,male,36-45,1
Dennis Kenneally,male,46-55,1
Clarence Sykes,male,46-55,1
Marva Tolbert,female,36-45,1
Theresa Gay,female,56-65,2
Dolores Golden,female,36-45,1
Earl Whitfill,male,36-45,1
Bertha Young,female,46-55,1
Elvis Burton,male,46-55,4
Marcia Conway,female,36-45,1
Michael Walton,male,65+,1
Desiree Smith,female,36-45,1
Asuncion Stavnes,female,56-65,2
Beverly Toomer,female,65+,1
James Keaton,male,56-65,5
Chad Vo,male,46-55,1
Shirley Myers,female,46-55,4
Erna Miller,female,56-65,3
Nancy Lanza,female,46-55,1
Timothy Cser,male,46-55,2
Pauline Jimerson,female,46-55,2
Justin Villalobos,male,56-65,2
Beth Burrows,female,65+,1
Robert Baird,male,65+,2
Charles Cambell,male,65+,1
Marisol Simons,female,56-65,1
Nola Burdette,female,46-55,1
William Borkowski,male,36-45,1
Cristobal Straton,male,65+,1
Andre Kropf,male,56-65,1
Jay Garcia,male,65+,1
Stephen Bottoms,male,36-45,1
Joe Martin,male,46-55,1
Dean Gee,male,65+,7
Sherry Schriner,female,56-65,1
Gary Joaquin,male,46-55,1
Wendell Phillips,male,18-25,7
Clarence King,male,46-55,1
Christopher Hanson,male,46-55,1
Deana Burt,female,46-55,1
Frances Weed,female,65+,1
Victoria Tucker,female,65+,1
Felicia Hickox,female,65+,1
Clyde Smith,male,26-35,1
Emily Stokes,female,56-65,3
Brenda Williams,female,65+,1
Refugio Begay,female,36-45,1
Anthony Barber,male,36-45,1
Alex Brandi,male,46-55,1
Nathaniel Porch,male,46-55,1
Robin Miramontes,female,56-65,1
Charlie Shain,male,46-55,1
Dara Mohan,female,56-65,3
Jimmy Mcfolley,male,46-55,1
Stella Stamm,female,46-55,1
Deborah Williams,female,65+,1
Bobby Smolen,male,56-65,1
Yvonne Neal,female,65+,1
Frank Simard,male,56-65,2
Betty Mccall,female,46-55,1
Jason Dixon,male,46-55,1
Joseph Blalock,male,46-55,1
Katherine Rosario,female,65+,2
Ida Parker,female,46-55,1
Kelly Hudson,male,65+,1
Jacob Quiroz,male,46-55,3
Wanda Alexander,female,46-55,1
Ronald Daniels,male,36-45,8
Charlotte Conteras,female,36-45,26
Daniel Foster,male,46-55,3
Catherine Williams,female,65+,2
Richard Gent,male,65+,1
Tina Nichols,female,36-45,1
Walter Bogner,male,46-55,1
Cora Fenwick,female,65+,1
Barbara Boocks,female,46-55,1
Alice Cook,female,36-45,1
Frederick Blevins,male,46-55,1
Tammy Semler,female,65+,2
Sterling Martinez,male,26-35,3
Zachery Cooney,male,46-55,1
Mary Mintz,female,56-65,1
Bailey Matsuda,female,65+,1
Carey Hicks,female,56-65,1
Robert Riveron,male,46-55,1
Raul Pai,male,46-55,1
Verna Whitlock,female,36-45,3
Audrey Dorko,female,46-55,27
Martha Reed,female,56-65,2
Brady Mitchell,male,46-55,25
Rebecca Bankhead,female,56-65,1
Carlos Bryant,male,18-25,1
Julio Snow,male,46-55,2
Laura Rader,female,46-55,1
Jimmy Catalano,male,46-55,1
Margarita Martin,female,46-55,1
Marion Stoker,female,36-45,1
Steve Fisher,male,46-55,1
Elisa Ong,female,56-65,1
Irene Campbell,female,46-55,16
Rosa Grappe,female,56-65,1
Lois Hussey,female,36-45,1
Humberto Oliva,male,46-55,1
Melvin Lewis,male,18-25,2
Brian Ulrich,male,46-55,1
Paul Cochran,male,46-55,1
Michael Storey,male,46-55,2
Kim Perez,female,46-55,1
Ernestina Phillips,female,46-55,1
Randall Long,male,56-65,1
Geneva Olson,female,36-45,1
Ashley Miller,female,46-55,1
Kelly Cowen,female,46-55,1
Verna Raby,female,46-55,1
Tonya Medina,female,46-55,2
Lloyd Duesterhaus,male,46-55,1
Richard Carnillo,male,65+,1
Timothy Kessler,male,36-45,1
Johnny Jones,male,46-55,1
Robert Poole,male,46-55,1
Adrian Graham,male,46-55,1
Patrick Jenkins,male,46-55,2
Victoria Nielson,female,56-65,1
Sylvia Milam,female,36-45,1
Gabrielle Jaegers,female,65+,2
Annie Bueno,female,46-55,1
Doris Wal,female,36-45,1
Maxine Jones,female,46-55,5
Charles Hatley,male,56-65,1
Betty Zamora,female,56-65,2
Daniel Turley,male,46-55,1
Bernard Chevrette,male,36-45,1
Carolyn Shrader,female,65+,2
Kristie Greer,female,65+,1
Maria Tippins,female,46-55,1
Wendell Lando,male,65+,1
William Figgs,male,46-55,2
Nathan King,male,56-65,1
Rodney White,male,65+,1
Fern Butler,female,56-65,1
Jeffery Bolduc,male,56-65,1
Nicole Turner,female,46-55,1
Ernest Sanchez,male,46-55,2
Louis Glover,male,46-55,2
Nola Mccall,female,36-45,1
Dorothy Rogers,female,46-55,2
Max Rojas,male,65+,1
John Gallup,male,65+,1
Claudia Carl,female,36-45,1
Peter Crocker,male,46-55,1
Kyle Chaidez,male,36-45,1
Elmer Sharma,male,46-55,1
Ralph Pittman,male,46-55,1
Michael Lisk,male,46-55,5
Shelia Cook,female,56-65,1
Randal Burns,male,56-65,1
Melvin Strunk,male,46-55,1
Claudette Serisky,female,46-55,1
Kelley Patten,female,65+,1
Robert Clark,male,46-55,1
Megan Gardner,female,26-35,1
John White,male,56-65,1
Julia Moss,female,36-45,1
Timothy Yoes,male,65+,1
Terri Graham,female,65+,1
Ray Black,male,56-65,1
Ruby Magnall,female,56-65,1
Thomas Ezell,male,56-65,1
Nancy Love,female,36-45,1
Ellen Mckenzie,female,46-55,1
Robert Stpierre,male,65+,1
Brent Arnold,male,56-65,1
Maria Campbell,female,46-55,3
Davis Barry,male,46-55,1
Lula Chappell,female,46-55,1
Diana Bartolome,female,65+,1
Laura Linke,female,65+,1
Tyrone Aucoin,male,46-55,1
Evan Olson,male,56-65,2
Randy Cunningham,male,46-55,1
Marian Diaz,female,36-45,1
Melvin Upson,male,46-55,1
Louise Craig,female,46-55,1
Michelle Savage,female,36-45,1
Dannielle Scott,female,36-45,1
Ray Lancaster,male,46-55,3
Clinton Ellison,male,46-55,1
Anthony Hall,male,46-55,2
Brent Gonzalez,male,56-65,1
Tyler Sardina,male,65+,1
Dennis Hood,male,56-65,1
Lori Fitts,female,46-55,1
David Kelley,male,46-55,1
Luis Walsh,male,46-55,1
Mary Benson,female,18-25,1
